category_id,original_category,supercategory,annotations,images,material_mapping,object_mapping,decision_rationale,ambiguity,object_rationale
17,Corrugated carton,Carton,64,41,cardboard,carton,corrugated board,low,board box
0,Aluminium foil,Aluminium foil,62,43,metal,other_litter,aluminium,low,crumpled foil
40,Single-use carrier bag,Plastic bag & wrapper,61,49,plastic,bag_wrapper,polymer carrier bag,low,carrier bag
4,Other plastic bottle,Bottle,50,45,plastic,bottle,non-clear polymer bottle,low,bottle silhouette
16,Drink carton,Carton,45,41,REVIEW,carton,Tetra Pak-style laminate: board + polymer + foil. Disposal differs by locality and it is not honestly 'cardboard',high,board carton
31,Tissues,Paper,42,36,paper,other_litter,paper tissue,low,crumpled sheet
42,Crisp packet,Plastic bag & wrapper,39,35,plastic,bag_wrapper,"metallised polymer film; the metal layer is too thin to be a metal item, disposal is with plastics",medium,wrapper
45,Disposable food container,Plastic container,38,37,plastic,other_litter,polymer container,low,tray/container
49,Plastic utensils,Plastic utensils,37,29,plastic,other_litter,polymer cutlery,low,cutlery
10,Food Can,Can,34,20,metal,can,steel food can,low,cylindrical can
38,Garbage bag,Plastic bag & wrapper,31,20,plastic,bag_wrapper,polymer sack,low,sack
18,Meal carton,Carton,30,27,cardboard,carton,carton board,low,board box
51,Rope & strings,Rope & strings,29,28,EXCLUDE,other_litter,"natural or synthetic fibre, unresolvable from the label",high,fibre
34,Paper bag,Paper bag,27,23,paper,bag_wrapper,paper bag,low,bag silhouette
52,Scrap metal,Scrap metal,20,12,metal,other_litter,explicitly metal,low,irregular metal
46,Foam food container,Plastic container,15,13,plastic,other_litter,expanded polystyrene,low,tray
22,Foam cup,Cup,13,11,plastic,cup,expanded polystyrene,low,cup silhouette
30,Magazine paper,Paper,12,5,paper,other_litter,printed paper,low,sheet
32,Wrapping paper,Paper,12,11,paper,other_litter,paper,low,sheet
15,Egg carton,Carton,11,9,cardboard,carton,moulded board or foam pulp; usually board,medium,board box
11,Aerosol,Can,10,10,metal,can,steel/aluminium pressurised can,low,cylindrical pressurised can
28,Metal lid,Lid,10,6,metal,other_litter,explicitly metal,low,flat disc
43,Spread tub,Plastic container,9,9,plastic,other_litter,polymer tub,low,tub
25,Food waste,Food waste,8,7,EXCLUDE,other_litter,organic; outside BinSight's six-material scope and only 8 annotations,medium,organic
53,Shoe,Shoe,7,6,EXCLUDE,other_litter,multi-material; not packaging waste,high,shoe
54,Squeezable tube,Squeezable tube,7,6,plastic,other_litter,"usually polymer, occasionally aluminium-lined",medium,tube
2,Aluminium blister pack,Blister pack,6,6,metal,other_litter,aluminium-backed blister; mixed with polymer but the label names aluminium,medium,blister
23,Glass cup,Cup,6,4,glass,cup,glass drinkware,low,cup silhouette
26,Glass jar,Glass jar,6,4,glass,other_litter,glass jar,low,jar; too few to justify its own class
47,Other plastic container,Plastic container,6,6,plastic,other_litter,explicitly plastic,low,container
37,Six pack rings,Plastic bag & wrapper,5,4,plastic,other_litter,polymer rings,low,rings
13,Toilet tube,Carton,5,3,cardboard,carton,board tube,low,board tube
56,Paper straw,Straw,4,4,paper,other_litter,paper straw,low,thin tube
48,Plastic glooves,Plastic glooves,4,4,plastic,other_litter,polymer gloves (TACO's spelling),low,glove
44,Tupperware,Plastic container,4,4,plastic,other_litter,reusable polymer container,low,container
19,Pizza box,Carton,3,3,cardboard,carton,corrugated board,low,board box
41,Polypropylene bag,Plastic bag & wrapper,3,3,plastic,bag_wrapper,named polymer,low,bag
1,Battery,Battery,2,2,EXCLUDE,other_litter,hazardous waste requiring separate handling; 2 annotations. Misclassifying a battery is worse than not detecting it,high,small block
24,Other plastic cup,Cup,2,2,plastic,cup,polymer cup,low,cup silhouette
3,Carded blister pack,Blister pack,1,1,EXCLUDE,other_litter,"board + polymer laminate, 1 annotation",high,blister
35,Plastified paper bag,Paper bag,0,0,EXCLUDE,bag_wrapper,"board + polymer laminate, 0 annotations",high,bag
